,date,region,min,max
495,5/21/20,Italy_nan,12.9,21.0
496,5/22/20,Italy_nan,12.9,26.0
497,5/23/20,Italy_nan,13.3,26.7
498,5/24/20,Italy_nan,12.6,26.0
499,5/25/20,Italy_nan,11.9,24.5
500,1/22/20,Turkey_nan,-5.0,1.0
501,1/23/20,Turkey_nan,-8.9,4.4
502,1/24/20,Turkey_nan,-6.1,-1.0
503,1/25/20,Turkey_nan,-11.0,4.0
504,1/26/20,Turkey_nan,-9.0,10.0
505,1/27/20,Turkey_nan,-7.1,9.2
506,1/28/20,Turkey_nan,-2.0,8.0
507,1/29/20,Turkey_nan,1.0,9.0
508,1/30/20,Turkey_nan,-3.0,11.5
509,1/31/20,Turkey_nan,-4.0,1.1
510,2/1/20,Turkey_nan,-8.0,1.0
511,2/2/20,Turkey_nan,-1.6,3.9
512,2/3/20,Turkey_nan,-4.0,7.0
513,2/4/20,Turkey_nan,2.0,6.0
514,2/5/20,Turkey_nan,0.6,14.0
515,2/6/20,Turkey_nan,5.0,12.0
516,2/7/20,Turkey_nan,-2.0,5.4
517,2/8/20,Turkey_nan,-9.0,-2.3
518,2/9/20,Turkey_nan,-14.0,-7.0
519,2/10/20,Turkey_nan,-16.0,-6.9
520,2/11/20,Turkey_nan,-19.0,-6.0
521,2/12/20,Turkey_nan,-5.6,2.3
522,2/13/20,Turkey_nan,-4.0,1.0
523,2/14/20,Turkey_nan,-13.0,-2.0
524,2/15/20,Turkey_nan,-5.0,-0.6
525,2/16/20,Turkey_nan,-4.0,2.0
526,2/17/20,Turkey_nan,-9.7,1.0
527,2/18/20,Turkey_nan,-10.0,5.0
528,2/19/20,Turkey_nan,-8.0,4.0
529,2/20/20,Turkey_nan,-7.0,2.0
530,2/21/20,Turkey_nan,-4.3,9.2
531,2/22/20,Turkey_nan,1.0,8.9
532,2/23/20,Turkey_nan,2.0,11.0
533,2/24/20,Turkey_nan,-1.0,12.0
534,2/25/20,Turkey_nan,-0.1,8.0
535,2/26/20,Turkey_nan,-5.0,14.0
536,2/27/20,Turkey_nan,-1.6,14.0
537,2/28/20,Turkey_nan,5.0,14.0
538,2/29/20,Turkey_nan,4.0,12.0
539,3/1/20,Turkey_nan,-1.0,7.0
540,3/2/20,Turkey_nan,-4.7,12.0
541,3/3/20,Turkey_nan,-2.7,17.0
542,3/4/20,Turkey_nan,1.0,19.0
543,3/5/20,Turkey_nan,1.0,16.0
544,3/6/20,Turkey_nan,9.0,15.0
545,3/7/20,Turkey_nan,0.8,17.0
546,3/8/20,Turkey_nan,-0.2,20.0
547,3/9/20,Turkey_nan,3.7,21.0
548,3/10/20,Turkey_nan,6.0,18.8
549,3/11/20,Turkey_nan,-2.0,18.0
550,3/12/20,Turkey_nan,4.0,19.0
551,3/13/20,Turkey_nan,9.0,16.2
552,3/14/20,Turkey_nan,6.0,14.6
553,3/15/20,Turkey_nan,2.0,19.0
554,3/16/20,Turkey_nan,-1.0,9.0
555,3/17/20,Turkey_nan,-4.0,-2.0
556,3/18/20,Turkey_nan,-4.0,-1.6
557,3/19/20,Turkey_nan,-4.2,2.0
558,3/20/20,Turkey_nan,-0.1,5.0
559,3/21/20,Turkey_nan,-2.0,8.0
560,3/22/20,Turkey_nan,-4.3,12.0
561,3/23/20,Turkey_nan,0.4,15.4
562,3/24/20,Turkey_nan,3.0,16.6
563,3/25/20,Turkey_nan,2.8,12.0
564,3/26/20,Turkey_nan,0.9,17.0
565,3/27/20,Turkey_nan,7.0,15.2
566,3/28/20,Turkey_nan,7.0,13.5
567,3/29/20,Turkey_nan,4.0,7.0
568,3/30/20,Turkey_nan,3.8,8.0
569,3/31/20,Turkey_nan,0.1,15.0
570,4/1/20,Turkey_nan,4.0,12.1
571,4/2/20,Turkey_nan,0.2,15.5
572,4/3/20,Turkey_nan,2.0,8.0
573,4/4/20,Turkey_nan,-0.5,15.0
574,4/5/20,Turkey_nan,8.8,19.0
575,4/6/20,Turkey_nan,7.0,19.0
576,4/7/20,Turkey_nan,4.8,17.0
577,4/8/20,Turkey_nan,4.8,16.6
578,4/9/20,Turkey_nan,3.0,12.9
579,4/10/20,Turkey_nan,4.0,13.7
580,4/11/20,Turkey_nan,-2.0,15.0
581,4/12/20,Turkey_nan,-0.4,14.6
582,4/13/20,Turkey_nan,-1.4,16.2
583,4/14/20,Turkey_nan,-1.3,19.0
584,4/15/20,Turkey_nan,3.0,16.1
585,4/16/20,Turkey_nan,4.0,16.0
586,4/17/20,Turkey_nan,0.2,20.0
587,4/18/20,Turkey_nan,3.4,21.1
588,4/19/20,Turkey_nan,5.0,22.1
589,4/20/20,Turkey_nan,6.0,22.4
590,4/21/20,Turkey_nan,11.0,16.1
591,4/22/20,Turkey_nan,7.0,15.0
